Name,State/Region,Quantity,Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Haleem + Naan + Onions,Delhi,280g (1 medium bowl + 1 naan + 1 small bowl),585,28,58,24,Non-Veg,Breakfast/Lunch,"Mutton, lentils, wheat, barley, onions, ginger, ghee, refined flour"
Chole Kulche + Onions,Delhi,200g (1 small bowl + 2 kulchas + 1 small bowl),485,14,66,16,Veg,Breakfast/Lunch,"Chickpeas, refined flour, yogurt, onions, tomatoes, spices"
Pani Puri + Aloo + Chutney,Delhi,120g (8 pieces + filling + chutneys),165,4,32,2,Veg,Snacks,"Semolina, potatoes, chickpeas, tamarind, mint, coriander, spices"
Gol Gappe + Filling,Delhi,100g (8 pieces + filling),145,3,28,2,Veg,Snacks,"Semolina, potatoes, chickpeas, spiced water, chutneys"
Bhel Puri + Sev,Delhi,80g (1 small plate),185,4,32,5,Veg,Snacks,"Puffed rice, sev, onions, tomatoes, chutneys, coriander"
Sev Puri + Toppings,Delhi,100g (6 pieces + toppings),225,5,32,8,Veg,Snacks,"Puri, sev, potatoes, onions, chutneys, pomegranate"
Papdi Chaat + Toppings,Delhi,100g (1 small plate),225,5,32,8,Veg,Snacks,"Wheat crisps, potatoes, chickpeas, yogurt, chutneys, sev"
Dahi Bhalla + Chutney,Delhi,100g (2 pieces + chutneys),185,6,25,8,Veg,Snacks,"Urad dal, yogurt, tamarind chutney, mint chutney, chaat masala"
Aloo Tikki Chaat + Chutneys,Delhi,120g (2 pieces + chutneys + toppings),265,5,42,9,Veg,Snacks,"Potatoes, gram flour, tamarind chutney, mint chutney, yogurt, sev"
Raj Kachori + Chutneys,Delhi,140g (1 large piece + fillings + chutneys),365,8,46,16,Veg,Snacks,"Refined flour, moong dal, potatoes, yogurt, chutneys, sev"
Dahi Papdi Chaat + Toppings,Delhi,120g (1 small plate),245,6,36,8,Veg,Snacks,"Wheat crisps, yogurt, potatoes, chickpeas, chutneys, sev"
Aloo Chaat + Chutneys,Delhi,100g (1 small plate),165,3,28,5,Veg,Snacks,"Potatoes, chutneys, yogurt, sev, onions, tomatoes"
Fruit Chaat + Chaat Masala,Delhi,150g (1 medium bowl),125,2,28,1,Veg,Snacks,"Mixed fruits, chaat masala, lemon juice, black salt"
Samosa + Green Chutney + Sweet Chutney,Delhi,120g (2 pieces + 2 tbsp each),365,7,46,18,Veg,Snacks,"Refined flour, potatoes, peas, onions, green chilies, oil, mint, tamarind"
Kachori + Aloo Sabzi + Chutney,Delhi,230g (3 pieces + 1 medium bowl + 2 tbsp),470,10,63,20,Veg,Snacks,"Refined flour, moong dal, fennel, potatoes, onions, tomatoes, tamarind chutney"
Chole Tikki + Chutneys,Delhi,120g (2 pieces + chutneys),285,10,38,12,Veg,Snacks,"Potatoes, chickpeas, gram flour, chutneys, spices"
Pakoda + Chutney,Delhi,100g (6-8 pieces + 2 tbsp),225,6,26,12,Veg,Snacks,"Gram flour, onions, potatoes, spinach, green chilies, oil, mint chutney"
Bread Pakoda + Chutney,Delhi,120g (2 pieces + 2 tbsp),295,8,36,12,Veg,Snacks,"Bread, gram flour, potatoes, green chilies, mint chutney"
Momos Steamed + Chutney,Delhi,150g (8 pieces + 2 tbsp),265,12,35,8,Veg,Snacks,"Refined flour, vegetables, onions, garlic, ginger, soy sauce, red chutney"
Chicken Momos + Chutney,Delhi,150g (8 pieces + 2 tbsp),285,15,32,10,Non-Veg,Snacks,"Refined flour, chicken, onions, garlic, ginger, soy sauce, red chutney"
Fried Momos + Chutney,Delhi,150g (8 pieces + 2 tbsp),325,12,38,14,Veg,Snacks,"Refined flour, vegetables, onions, garlic, ginger, oil, red chutney"
Spring Rolls + Sauce,Delhi,120g (4 pieces + 2 tbsp),245,6,32,10,Veg,Snacks,"Refined flour, cabbage, carrots, onions, oil, soy sauce"
Chicken Spring Rolls + Sauce,Delhi,120g (4 pieces + 2 tbsp),285,12,28,14,Non-Veg,Snacks,"Refined flour, chicken, cabbage, carrots, onions, oil, soy sauce"
Manchurian Dry + Fried Rice,Delhi,200g (1 small bowl + 1 medium plate),385,8,58,12,Veg,Snacks/Lunch,"Cauliflower/cabbage, cornflour, soy sauce, rice, vegetables, garlic"
Chicken Manchurian + Fried Rice,Delhi,220g (1 small bowl + 1 medium plate),445,18,54,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, soy sauce, rice, vegetables, garlic, ginger"
Honey Chilli Potato + Noodles,Delhi,180g (1 small bowl + 1 medium plate),385,6,58,14,Veg,Snacks,"Potatoes, cornflour, honey, chili sauce, noodles, vegetables"
Chili Chicken + Fried Rice,Delhi,200g (1 small bowl + 1 medium plate),425,16,52,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, chili sauce, rice, vegetables, soy sauce"
Vada Pav + Chutney,Delhi,140g (1 piece + chutneys),325,7,50,10,Veg,Snacks,"Potatoes, bread, gram flour, mustard seeds, mint chutney, tamarind chutney"
Pav Bhaji + Pav + Onions,Delhi,250g (1 medium bowl + 2 pav + 1 small bowl),485,12,68,18,Veg,Snacks,"Mixed vegetables, pav bread, butter, onions, tomatoes, spices"
Misal Pav + Onions,Delhi,220g (1 medium bowl + 2 pav + 1 small bowl),445,14,62,16,Veg,Snacks,"Sprouted beans, pav bread, onions, tomatoes, spices, farsan"
Dabeli + Chutney,Delhi,120g (2 pieces + chutneys),285,6,48,8,Veg,Snacks,"Pav bread, potatoes, chutneys, pomegranate, sev, peanuts"
Mathri + Pickle,Delhi,60g (4-5 pieces + 1 tbsp),245,6,28,12,Veg,Snacks,"Refined flour, ghee, cumin, carom seeds, pickle"
Namkeen Mix + Roasted Chana,Delhi,80g (1 small bowl),285,12,32,12,Veg,Snacks,"Mixed namkeen, roasted chickpeas, peanuts, sev, spices"
Bhujia + Peanuts,Delhi,60g (1 small packet),285,10,25,18,Veg,Snacks,"Gram flour noodles, peanuts, spices, oil"
Chana Jor Garam,Delhi,50g (1 small packet),165,8,24,4,Veg,Snacks,"Flattened chickpeas, spices, chaat masala, lemon"
Bajra Khichdi + Dahi + Ghee + Pickle,Haryana,350g (1 large bowl + 1 small bowl + 1 tbsp + 1 tbsp),565,16,78,20,Veg,Lunch/Dinner,"Bajra, rice, moong dal, turmeric, cumin, ghee, yogurt, pickle"
Sarson da Saag + Makki di Roti + Ghee + Jaggery,Haryana,320g (1 medium bowl + 3 rotis + 1 tbsp + 1 piece),485,16,68,18,Veg,Lunch/Dinner,"Mustard greens, spinach, garlic, ginger, corn flour, ghee, jaggery"
Kadhi Pakora + Rice + Pickle,Haryana,380g (1 medium bowl + 1 large plate + 1 tbsp),610,16,88,21,Veg,Lunch/Dinner,"Gram flour, yogurt, onions, green chilies, ginger, turmeric, rice, pickle"
Mixed Dal + Bajra Roti + Ghee + Onions,Haryana,350g (1 medium bowl + 3 rotis + 1 tbsp + 1 small bowl),545,20,72,18,Veg,Lunch/Dinner,"Mixed lentils, bajra flour, turmeric, cumin, ghee, onions"
Bathua Raita + Roti + Dal + Pickle,Haryana,370g (1 small bowl + 2 rotis + 1 small bowl + 1 tbsp),485,18,68,16,Veg,Lunch/Dinner,"Bathua leaves, yogurt, cumin, wheat flour, lentils, pickle"
Methi Gajar + Bajra Roti + Lassi,Haryana,380g (1 medium bowl + 3 rotis + 1 glass),525,18,72,16,Veg,Lunch/Dinner,"Fenugreek leaves, carrots, onions, bajra flour, yogurt, sugar"
Besan Masala Roti + Dahi + Pickle,Haryana,250g (3 rotis + 1 small bowl + 1 tbsp),445,16,58,16,Veg,Lunch/Dinner,"Gram flour, wheat flour, onions, green chilies, spices, yogurt, pickle"
Kachri ki Sabzi + Bajra Roti + Buttermilk,Haryana,330g (1 medium bowl + 3 rotis + 1 glass),465,14,68,14,Veg,Lunch/Dinner,"Wild cucumber, onions, tomatoes, spices, bajra flour, yogurt"
Aloo Methi + Roti + Dal + Pickle,Haryana,370g (1 medium bowl + 2 rotis + 1 small bowl + 1 tbsp),485,16,72,14,Veg,Lunch/Dinner,"Potatoes, fenugreek leaves, turmeric, cumin, wheat flour, lentils, pickle"
Bhindi Masala + Bajra Roti + Chaas,Haryana,320g (1 medium bowl + 3 rotis + 1 glass),445,14,68,12,Veg,Lunch/Dinner,"Okra, onions, tomatoes, spices, bajra flour, yogurt, cumin"
Gajar Methi + Roti + Dal + Ghee,Haryana,350g (1 medium bowl + 2 rotis + 1 small bowl + 1 tsp),465,16,65,16,Veg,Lunch/Dinner,"Carrots, fenugreek leaves, onions, wheat flour, lentils, ghee"
Churma + Bajra Roti + Dal + Pickle,Haryana,320g (1 small bowl + 2 rotis + 1 small bowl + 1 tbsp),525,14,78,16,Veg,Lunch/Dinner,"Wheat flour, jaggery, ghee, bajra flour, lentils, pickle"
Rajma + Rice + Pickle + Papad,Haryana,315g (1 medium bowl + 1 large plate + 1 tbsp + 2 pieces),485,18,78,14,Veg,Lunch/Dinner,"Kidney beans, onions, tomatoes, spices, rice, pickle, papad"
Chana Dal + Bajra Roti + Ghee + Onions,Haryana,330g (1 medium bowl + 3 rotis + 1 tbsp + 1 small bowl),545,20,68,18,Veg,Lunch/Dinner,"Chana dal, turmeric, cumin, bajra flour, ghee, onions"
Arhar Dal + Rice + Ghee + Pickle,Haryana,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),540,16,88,12,Veg,Lunch/Dinner,"Pigeon peas, turmeric, cumin, mustard seeds, rice, ghee, pickle"
Palak + Bajra Roti + Lassi,Haryana,330g (1 medium bowl + 3 rotis + 1 glass),465,16,62,14,Veg,Lunch/Dinner,"Spinach, garlic, ginger, green chilies, bajra flour, yogurt"
Lauki ki Sabzi + Roti + Dal + Pickle,Haryana,350g (1 medium bowl + 2 rotis + 1 small bowl + 1 tbsp),425,14,68,10,Veg,Lunch/Dinner,"Bottle gourd, onions, tomatoes, turmeric, wheat flour, lentils, pickle"
Tinda Masala + Bajra Roti + Chaas,Haryana,320g (1 medium bowl + 3 rotis + 1 glass),445,12,68,12,Veg,Lunch/Dinner,"Tinda (apple gourd), onions, tomatoes, spices, bajra flour, yogurt"
Karela Sabzi + Roti + Dal + Pickle,Haryana,320g (1 medium bowl + 2 rotis + 1 small bowl + 1 tbsp),425,14,58,14,Veg,Lunch/Dinner,"Bitter gourd, onions, turmeric, wheat flour, lentils, pickle"
Baingan Bharta + Bajra Roti + Buttermilk,Haryana,300g (1 medium bowl + 3 rotis + 1 glass),425,12,62,13,Veg,Lunch/Dinner,"Eggplant, onions, tomatoes, garlic, bajra flour, yogurt"
Chicken Curry + Roti + Salad,Haryana,350g (1 medium bowl + 2 rotis + 1 small plate),585,35,54,24,Non-Veg,Lunch/Dinner,"Chicken, onions, tomatoes, yogurt, spices, wheat flour, cucumber, onions"
Mutton Curry + Bajra Roti + Onions,Haryana,350g (1 medium bowl + 3 rotis + 1 small bowl),645,36,48,32,Non-Veg,Lunch/Dinner,"Mutton, onions, tomatoes, red chili, bajra flour, onions"
Fish Curry + Rice + Dal,Haryana,380g (1 medium bowl + 1 large plate + 1 small bowl),575,30,84,18,Non-Veg,Lunch/Dinner,"Fish, onions, tomatoes, turmeric, rice, lentils, mustard oil"
Keema + Roti + Pickle,Haryana,270g (1 medium bowl + 2 rotis + 1 tbsp),565,30,43,28,Non-Veg,Lunch/Dinner,"Minced mutton/chicken, onions, tomatoes, spices, wheat flour, pickle"
Egg Curry + Rice + Papad,Haryana,315g (1 medium bowl + 1 large plate + 2 pieces),475,22,84,18,Non-Veg,Lunch/Dinner,"Eggs, onions, tomatoes, turmeric, rice, papad"
Aloo Paratha + Dahi + Pickle + Ghee,Haryana,260g (2 parathas + 1 small bowl + 1 tbsp + 1 tsp),485,14,57,22,Veg,Breakfast,"Wheat flour, potatoes, onions, green chilies, ghee, yogurt, pickle"
Gobi Paratha + Dahi + Achaar + Ghee,Haryana,260g (2 parathas + 1 small bowl + 1 tbsp + 1 tsp),465,14,54,21,Veg,Breakfast,"Wheat flour, cauliflower, onions, green chilies, ghee, yogurt, pickle"
Mooli Paratha + Dahi + Pickle + Ghee,Haryana,260g (2 parathas + 1 small bowl + 1 tbsp + 1 tsp),455,13,52,20,Veg,Breakfast,"Wheat flour, radish, green chilies, coriander, ghee, yogurt, pickle"
Methi Paratha + Dahi + Pickle + Ghee,Haryana,260g (2 parathas + 1 small bowl + 1 tbsp + 1 tsp),445,16,52,20,Veg,Breakfast,"Wheat flour, fenugreek leaves, onions, ghee, yogurt, pickle"
Paneer Paratha + Dahi + Pickle + Ghee,Haryana,260g (2 parathas + 1 small bowl + 1 tbsp + 1 tsp),515,18,50,26,Veg,Breakfast,"Wheat flour, paneer, onions, green chilies, ghee, yogurt, pickle"
Keema Paratha + Dahi + Pickle,Haryana,250g (2 parathas + 1 small bowl + 1 tbsp),565,25,48,28,Non-Veg,Breakfast,"Wheat flour, minced mutton, onions, spices, ghee, yogurt, pickle"
Makki di Roti + Sarson Saag + Ghee + Jaggery,Haryana,320g (3 rotis + 1 medium bowl + 1 tbsp + 1 piece),485,16,68,18,Veg,Breakfast,"Corn flour, mustard greens, spinach, garlic, ghee, jaggery"
Bajra Roti + Lehsun Chutney + Dahi,Haryana,250g (3 rotis + 2 tbsp + 1 small bowl),385,12,58,12,Veg,Breakfast,"Bajra flour, garlic, red chili, salt, oil, yogurt"
Besan Roti + Dahi + Pickle,Haryana,220g (3 rotis + 1 small bowl + 1 tbsp),385,14,48,14,Veg,Breakfast,"Gram flour, wheat flour, onions, green chilies, yogurt, pickle"
Puri Sabzi + Pickle + Lassi,Haryana,300g (4 puris + 1 medium bowl + 1 tbsp + 1 glass),565,14,78,18,Veg,Breakfast,"Wheat flour, oil, seasonal vegetables, spices, pickle, yogurt"
Poha + Sev + Namkeen,Haryana,180g (1 medium plate + 2 tbsp + 1 small portion),285,6,48,8,Veg,Breakfast,"Flattened rice, onions, mustard seeds, curry leaves, sev, namkeen"
Upma + Chutney + Milk,Haryana,280g (1 medium bowl + 2 tbsp + 1 glass),365,12,56,10,Veg,Breakfast,"Semolina, onions, mustard seeds, curry leaves, coconut chutney, milk"
Daliya + Ghee + Jaggery + Milk,Haryana,320g (1 medium bowl + 1 tsp + 1 piece + 1 glass),385,14,65,8,Veg,Breakfast,"Broken wheat, ghee, jaggery, milk, cardamom"
Bedmi Puri + Aloo Sabzi + Pickle,Haryana,210g (4 puris + 1 medium bowl + 1 tbsp),430,10,56,18,Veg,Breakfast,"Wheat flour, urad dal, fennel, potatoes, onions, spices, pickle"
Masala Dosa + Sambhar + Chutney,Haryana,280g (1 large dosa + 1 small bowl + 2 tbsp),385,12,64,12,Veg,Breakfast,"Rice, urad dal, potatoes, mustard seeds, lentils, coconut chutney"
Idli Sambhar + Chutney + Milk,Haryana,330g (4 pieces + 1 small bowl + 2 tbsp + 1 glass),325,13,52,8,Veg,Breakfast,"Rice, urad dal, lentils, vegetables, tamarind, coconut chutney, milk"
Samosa + Green Chutney + Sweet Chutney,Haryana,120g (2 pieces + 2 tbsp each),365,7,46,18,Veg,Snacks,"Refined flour, potatoes, peas, onions, green chilies, oil, mint, tamarind"
Kachori + Aloo Sabzi + Chutney,Haryana,230g (3 pieces + 1 medium bowl + 2 tbsp),470,10,63,20,Veg,Snacks,"Refined flour, moong dal, fennel, potatoes, onions, tamarind chutney"
Pakoda + Chutney + Tea,Haryana,200g (6-8 pieces + 2 tbsp + 1 cup),305,8,34,15,Veg,Snacks,"Gram flour, onions, potatoes, spinach, oil, mint chutney, tea, milk"
Bread Pakoda + Chutney,Haryana,120g (2 pieces + 2 tbsp),295,8,36,12,Veg,Snacks,"Bread, gram flour, potatoes, green chilies, mint chutney"
Pani Puri + Aloo + Chutney,Haryana,120g (8 pieces + filling + chutneys),165,4,32,2,Veg,Snacks,"Semolina, potatoes, chickpeas, tamarind, mint, coriander, spices"
Gol Gappe + Filling,Haryana,100g (8 pieces + filling),145,3,28,2,Veg,Snacks,"Semolina, potatoes, chickpeas, spiced water, chutneys"
Bhel Puri + Sev,Haryana,80g (1 small plate),185,4,32,5,Veg,Snacks,"Puffed rice, sev, onions, tomatoes, chutneys, coriander"
Papdi Chaat + Toppings,Haryana,100g (1 small plate),225,5,32,8,Veg,Snacks,"Wheat crisps, potatoes, chickpeas, yogurt, chutneys, sev"
Dahi Bhalla + Chutney,Haryana,100g (2 pieces + chutneys),185,6,25,8,Veg,Snacks,"Urad dal, yogurt, tamarind chutney, mint chutney, chaat masala"
Aloo Tikki + Chutneys,Haryana,120g (2 pieces + chutneys),245,5,36,9,Veg,Snacks,"Potatoes, green chilies, coriander, cumin, breadcrumbs, oil, chutneys"
Raj Kachori + Chutneys,Haryana,140g (1 large piece + fillings + chutneys),365,8,46,16,Veg,Snacks,"Refined flour, moong dal, potatoes, yogurt, chutneys, sev"
Aloo Chaat + Chutneys,Haryana,100g (1 small plate),165,3,28,5,Veg,Snacks,"Potatoes, chutneys, yogurt, sev, onions, tomatoes"
Chole Tikki + Chutneys,Haryana,120g (2 pieces + chutneys),285,10,38,12,Veg,Snacks,"Potatoes, chickpeas, gram flour, chutneys, spices"
Fruit Chaat + Chaat Masala,Haryana,150g (1 medium bowl),125,2,28,1,Veg,Snacks,"Mixed fruits, chaat masala, lemon juice, black salt"
Mathri + Pickle,Haryana,60g (4-5 pieces + 1 tbsp),245,6,28,12,Veg,Snacks,"Refined flour, ghee, cumin, carom seeds, pickle"
Namkeen Mix + Roasted Chana,Haryana,80g (1 small bowl),285,12,32,12,Veg,Snacks,"Mixed namkeen, roasted chickpeas, peanuts, sev, spices"
Bhujia + Peanuts,Haryana,60g (1 small packet),285,10,25,18,Veg,Snacks,"Gram flour noodles, peanuts, spices, oil"
Chana Jor Garam,Haryana,50g (1 small packet),165,8,24,4,Veg,Snacks,"Flattened chickpeas, spices, chaat masala, lemon"
Khakhra + Pickle,Haryana,50g (3-4 pieces + 1 tbsp),185,5,28,6,Veg,Snacks,"Wheat flour, oil, spices, pickle"
Churma Laddu + Milk,Haryana,180g (2 pieces + 1 glass),445,10,56,16,Veg,Snacks,"Wheat flour, jaggery, ghee, cardamom, almonds, milk"
Mathi + Aam ka Achaar,Haryana,60g (4-5 pieces + 1 tbsp),265,6,32,12,Veg,Snacks,"Refined flour, ghee, fennel, mango pickle"
Baked Mathri + Dahi,Haryana,80g (5-6 pieces + 2 tbsp),225,7,32,8,Veg,Snacks,"Wheat flour, cumin, carom seeds, yogurt"
Kheer Kaddu + Puri,Haryana,150g (1 small bowl + 2 puris),285,5,48,8,Veg,Snacks,"Pumpkin, milk, sugar, cardamom, wheat flour, oil"
Gur Rewri + Peanuts,Haryana,60g (6-8 pieces + handful),245,6,38,8,Veg,Snacks,"Jaggery, sesame seeds, peanuts"
Batasha + Roasted Chana,Haryana,70g (8-10 pieces + handful),265,8,52,2,Veg,Snacks,"Sugar, roasted chickpeas"
Methi Thepla + Dahi,Haryana,120g (3 pieces + 1 small bowl),285,9,42,8,Veg,Snacks,"Wheat flour, fenugreek leaves, yogurt, spices"
Bajra Thepla + Pickle,Haryana,100g (3 pieces + 1 tbsp),265,7,38,8,Veg,Snacks,"Bajra flour, onions, green chilies, pickle"
Dal Chawal + Ghee + Pickle,Himachal Pradesh,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),540,16,88,12,Veg,Lunch/Dinner,"Yellow lentils, rice, turmeric, cumin, ghee, pickle"
Rajma Chawal + Papad + Pickle,Himachal Pradesh,295g (1 medium bowl + 1 large plate + 2 pieces + 1 tbsp),450,16,66,16,Veg,Lunch/Dinner,"Kidney beans, rice, onions, tomatoes, spices, papad, pickle"
Chicken Curry + Rice + Roti,Himachal Pradesh,400g (1 medium bowl + 1 large plate + 2 rotis),675,40,96,30,Non-Veg,Lunch/Dinner,"Chicken, onions, tomatoes, yogurt, spices, rice, wheat flour"
Aloo Gobi + Roti + Dal + Pickle,Himachal Pradesh,370g (1 medium bowl + 2 rotis + 1 small bowl + 1 tbsp),515,18,89,14,Veg,Lunch/Dinner,"Potatoes, cauliflower, onions, tomatoes, turmeric, wheat flour, lentils, pickle"
Kadhi Chawal + Papad + Pickle,Himachal Pradesh,365g (1 medium bowl + 1 large plate + 2 pieces + 1 tbsp),595,16,88,21,Veg,Lunch/Dinner,"Gram flour, yogurt, onions, green chilies, ginger, rice, papad, pickle"
Mutton Curry + Roti + Salad,Himachal Pradesh,350g (1 medium bowl + 2 rotis + 1 small plate),675,36,53,34,Non-Veg,Lunch/Dinner,"Mutton, onions, tomatoes, yogurt, spices, wheat flour, cucumber, onions"
Palak Paneer + Roti + Dal,Himachal Pradesh,380g (1 medium bowl + 2 rotis + 1 small bowl),580,29,67,24,Veg,Lunch/Dinner,"Spinach, paneer, onions, tomatoes, garlic, ginger, wheat flour, lentils"
Bhindi Masala + Roti + Dal,Himachal Pradesh,320g (1 medium bowl + 2 rotis + 1 small bowl),480,16,73,18,Veg,Lunch/Dinner,"Okra, onions, tomatoes, turmeric, coriander, wheat flour, lentils"
Mixed Dal + Rice + Ghee + Pickle,Himachal Pradesh,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),540,18,88,14,Veg,Lunch/Dinner,"Mixed lentils, rice, turmeric, cumin, ghee, pickle"
Egg Curry + Rice + Papad,Himachal Pradesh,315g (1 medium bowl + 1 large plate + 2 pieces),475,22,84,21,Non-Veg,Lunch/Dinner,"Eggs, onions, tomatoes, turmeric, rice, papad"
Siddu + Ghee + Dal + Pickle,Himachal Pradesh,280g (3 pieces + 1 tbsp + 1 small bowl + 1 tbsp),565,18,78,18,Veg,Lunch/Dinner,"Wheat flour, yeast, kneaded potato, ghee, lentils, pickle"
Chha Gosht + Rice + Roti,Himachal Pradesh,380g (1 medium bowl + 1 large plate + 1 roti),685,32,84,28,Non-Veg,Lunch/Dinner,"Mutton, yogurt, gram flour, onions, spices, rice, wheat flour"
Madra + Rice + Papad,Himachal Pradesh,350g (1 medium bowl + 1 large plate + 2 pieces),515,16,78,16,Veg,Lunch/Dinner,"Chickpeas/kidney beans, yogurt, cardamom, cloves, rice, papad"
Dham + Rice + Pickle,Himachal Pradesh,400g (1 large thali + 1 tbsp),685,24,95,22,Veg,Lunch/Dinner,"Rice, rajma, madra, kheer, kadhi, mixed vegetables, ghee, pickle"
Tudkiya Bhath + Raita + Papad,Himachal Pradesh,350g (1 large plate + 1 small bowl + 2 pieces),485,14,78,14,Veg,Lunch/Dinner,"Rice, potatoes, yogurt, turmeric, cumin, cucumber raita, papad"
Chicken Anardana + Roti + Dal,Himachal Pradesh,370g (1 medium bowl + 2 rotis + 1 small bowl),625,38,58,24,Non-Veg,Lunch/Dinner,"Chicken, pomegranate seeds, onions, yogurt, spices, wheat flour, lentils"
Khatta + Rice + Roti,Himachal Pradesh,350g (1 medium bowl + 1 large plate + 1 roti),465,12,84,12,Veg,Lunch/Dinner,"Black gram, tamarind, jaggery, asafoetida, rice, wheat flour"
Babru + Chutney + Dal,Himachal Pradesh,220g (3 pieces + 2 tbsp + 1 small bowl),485,14,58,20,Veg,Lunch/Dinner,"Black gram, wheat flour, onions, green chilies, mint chutney, lentils"
Aktori + Ghee + Pickle,Himachal Pradesh,180g (1 medium bowl + 1 tbsp + 1 tbsp),385,8,58,14,Veg,Lunch/Dinner,"Buckwheat flour, potatoes, yogurt, ghee, pickle"
Patande + Ghee + Jaggery,Himachal Pradesh,200g (3 pieces + 1 tbsp + 1 piece),425,12,65,14,Veg,Lunch/Dinner,"Wheat flour, milk, sugar, cardamom, ghee, jaggery"
Trout Fish Curry + Rice + Vegetables,Himachal Pradesh,380g (1 medium bowl + 1 large plate + 1 small bowl),565,32,78,18,Non-Veg,Lunch/Dinner,"Trout fish, onions, tomatoes, turmeric, rice, seasonal vegetables"
Aloo Paratha + Dahi + Pickle,Himachal Pradesh,240g (2 parathas + 1 small bowl + 1 tbsp),445,13,57,18,Veg,Breakfast,"Wheat flour, potatoes, onions, green chilies, coriander, ghee, yogurt, pickle"
Gobi Paratha + Dahi + Achaar,Himachal Pradesh,240g (2 parathas + 1 small bowl + 1 tbsp),425,13,54,17,Veg,Breakfast,"Wheat flour, cauliflower, onions, green chilies, ghee, yogurt, pickle"
Mooli Paratha + Dahi + Pickle,Himachal Pradesh,240g (2 parathas + 1 small bowl + 1 tbsp),415,12,52,16,Veg,Breakfast,"Wheat flour, radish, green chilies, coriander, ghee, yogurt, pickle"
Paneer Paratha + Dahi + Pickle,Himachal Pradesh,240g (2 parathas + 1 small bowl + 1 tbsp),475,17,50,22,Veg,Breakfast,"Wheat flour, paneer, onions, green chilies, ghee, yogurt, pickle"
Methi Paratha + Dahi + Pickle,Himachal Pradesh,240g (2 parathas + 1 small bowl + 1 tbsp),405,15,52,16,Veg,Breakfast,"Wheat flour, fenugreek leaves, onions, ghee, yogurt, pickle"
Puri Sabzi + Pickle + Lassi,Himachal Pradesh,300g (4 puris + 1 medium bowl + 1 tbsp + 1 glass),565,14,78,18,Veg,Breakfast,"Wheat flour, oil, seasonal vegetables, spices, pickle, yogurt"
Poha + Sev + Namkeen,Himachal Pradesh,180g (1 medium plate + 2 tbsp + 1 small portion),285,6,48,8,Veg,Breakfast,"Flattened rice, onions, mustard seeds, curry leaves, sev, namkeen"
Upma + Chutney + Milk,Himachal Pradesh,280g (1 medium bowl + 2 tbsp + 1 glass),365,12,56,10,Veg,Breakfast,"Semolina, onions, mustard seeds, curry leaves, coconut chutney, milk"
Masala Dosa + Sambhar + Chutney,Himachal Pradesh,280g (1 large dosa + 1 small bowl + 2 tbsp),385,12,64,12,Veg,Breakfast,"Rice, urad dal, potatoes, mustard seeds, lentils, coconut chutney"
Idli Sambhar + Chutney + Milk,Himachal Pradesh,330g (4 pieces + 1 small bowl + 2 tbsp + 1 glass),325,13,52,8,Veg,Breakfast,"Rice, urad dal, lentils, vegetables, tamarind, coconut chutney, milk"
Bedmi Puri + Aloo Sabzi + Pickle,Himachal Pradesh,210g (4 puris + 1 medium bowl + 1 tbsp),430,10,56,18,Veg,Breakfast,"Wheat flour, urad dal, fennel, potatoes, onions, spices, pickle"
Siddu + Ghee + Chutney,Himachal Pradesh,200g (2 pieces + 1 tbsp + 2 tbsp),445,12,58,16,Veg,Breakfast,"Wheat flour, yeast, kneaded potato, ghee, mint chutney"
Babru + Chutney + Milk,Himachal Pradesh,280g (3 pieces + 2 tbsp + 1 glass),465,16,58,16,Veg,Breakfast,"Black gram, wheat flour, onions, green chilies, mint chutney, milk"
Thukpa + Vegetables,Himachal Pradesh,300g (1 large bowl),285,12,48,8,Veg,Breakfast/Lunch,"Noodles, mixed vegetables, garlic, ginger, soy sauce, spices"
Chicken Thukpa + Vegetables,Himachal Pradesh,320g (1 large bowl),385,22,48,12,Non-Veg,Breakfast/Lunch,"Noodles, chicken, mixed vegetables, garlic, ginger, soy sauce, spices"
Momos Steamed + Chutney,Himachal Pradesh,150g (8 pieces + 2 tbsp),265,12,35,8,Veg,Snacks,"Refined flour, vegetables, onions, garlic, ginger, soy sauce, red chutney"
Chicken Momos + Chutney,Himachal Pradesh,150g (8 pieces + 2 tbsp),285,15,32,10,Non-Veg,Snacks,"Refined flour, chicken, onions, garlic, ginger, soy sauce, red chutney"
Fried Momos + Chutney,Himachal Pradesh,150g (8 pieces + 2 tbsp),325,12,38,14,Veg,Snacks,"Refined flour, vegetables, onions, garlic, ginger, oil, red chutney"
Pani Puri + Aloo + Chutney,Himachal Pradesh,120g (8 pieces + filling + chutneys),165,4,32,2,Veg,Snacks,"Semolina, potatoes, chickpeas, tamarind, mint, coriander, spices"
Samosa + Green Chutney + Sweet Chutney,Himachal Pradesh,120g (2 pieces + 2 tbsp each),365,7,46,18,Veg,Snacks,"Refined flour, potatoes, peas, onions, green chilies, oil, mint, tamarind"
